#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1785167000 ; 3.25102 ; 3.29575 ; 0 ; 0
1785278000 ; 3.23033 ; 3.29628 ; 0 ; 0
1785390000 ; 3.23885 ; 3.29727 ; 0 ; 0
1785508000 ; 3.25955 ; 3.29582 ; 0 ; 0
1785628000 ; 3.22424 ; 3.29575 ; 0 ; 0
1785728000 ; 3.2352 ; 3.2959 ; 0 ; 0
1785835000 ; 0.388782 ; 3.29605 ; 0 ; 0
1785933000 ; 0.386347 ; 3.29605 ; 0 ; 0
1786042000 ; 3.86706 ; 3.29651 ; 0 ; 0
1786157000 ; 3.89993 ; 3.29681 ; 0 ; 0
1786270000 ; 4.14585 ; 3.29666 ; 0 ; 0
1786386000 ; 3.88167 ; 3.29636 ; 0 ; 0
1786513000 ; 3.79279 ; 3.29636 ; 0 ; 0
1786628000 ; 3.26685 ; 3.29727 ; 0 ; 0
1786729000 ; 3.26563 ; 3.29628 ; 0 ; 0
1786836000 ; 3.26198 ; 3.2962 ; 0 ; 0
1786935000 ; 3.25468 ; 3.29628 ; 0 ; 0
1787034000 ; 3.24981 ; 3.29643 ; 0 ; 0
1787136000 ; 3.25346 ; 3.29636 ; 0 ; 0
1787235000 ; 3.26442 ; 3.29819 ; 0 ; 0
1787333000 ; 3.25833 ; 3.29796 ; 0 ; 0
1787432000 ; 3.25224 ; 3.29628 ; 0 ; 0
1787535000 ; 3.2632 ; 3.29659 ; 0 ; 0
1787636000 ; 3.26807 ; 3.2975 ; 0 ; 0
1787740000 ; 3.26198 ; 3.29628 ; 0 ; 0
1787841000 ; 3.26807 ; 3.29636 ; 0 ; 0
1787942000 ; 3.25468 ; 3.29636 ; 0 ; 0
1788047000 ; 3.27294 ; 3.29651 ; 0 ; 0
1788155000 ; 3.26807 ; 3.29643 ; 0 ; 0
1788252000 ; 3.25833 ; 3.29674 ; 0 ; 0
1788360000 ; 3.24981 ; 3.29613 ; 0 ; 0
1788465000 ; 3.26076 ; 3.29636 ; 0 ; 0
1788574000 ; 3.26442 ; 3.29643 ; 0 ; 0
1788682000 ; 3.2705 ; 3.29605 ; 0 ; 0
1788801000 ; 3.26807 ; 3.2962 ; 0 ; 0
1788914000 ; 3.24859 ; 3.29636 ; 0 ; 0
1789031000 ; 3.26076 ; 3.2962 ; 0 ; 0
1789132000 ; 3.26198 ; 3.29613 ; 0 ; 0
1789237000 ; 3.26807 ; 3.2988 ; 0 ; 0
1789347000 ; 3.32529 ; 3.29636 ; 0 ; 0
1789457000 ; 3.2985 ; 3.29613 ; 0 ; 0
1789566000 ; 3.32894 ; 3.29643 ; 0 ; 0
1789667000 ; 3.35451 ; 3.2962 ; 0 ; 0
1789765000 ; 3.34111 ; 3.29628 ; 0 ; 0
1789877000 ; 3.33381 ; 3.29636 ; 0 ; 0
1789991000 ; 3.34477 ; 3.29613 ; 0 ; 0
1790106000 ; 3.34233 ; 3.29643 ; 0 ; 0
1790222000 ; 3.34111 ; 3.29659 ; 0 ; 0
1790336000 ; 3.35451 ; 3.29628 ; 0 ; 0
1790443000 ; 3.33503 ; 3.29605 ; 0 ; 0
1790554000 ; 3.33381 ; 3.29811 ; 0 ; 0
1790655000 ; 3.35085 ; 3.29636 ; 0 ; 0
1790751000 ; 3.33503 ; 3.29605 ; 0 ; 0
1790862000 ; 3.34111 ; 3.29643 ; 0 ; 0
1790957000 ; 3.34233 ; 3.2959 ; 0 ; 0
1791069000 ; 3.33868 ; 3.29643 ; 0 ; 0
1791167000 ; 3.34842 ; 3.29651 ; 0 ; 0
1791277000 ; 3.32285 ; 3.29689 ; 0 ; 0
1791389000 ; 3.34964 ; 3.29628 ; 0 ; 0
1791503000 ; 3.34233 ; 3.29651 ; 0 ; 0
1791620000 ; 3.32651 ; 3.29834 ; 0 ; 0
1791728000 ; 3.33746 ; 3.29651 ; 0 ; 0
1791838000 ; 3.33868 ; 3.29674 ; 0 ; 0
1791938000 ; 3.34111 ; 3.29659 ; 0 ; 0
1792037000 ; 3.34598 ; 3.29605 ; 0 ; 0
1792144000 ; 3.33625 ; 3.29636 ; 0 ; 0
1792242000 ; 3.34842 ; 3.29636 ; 0 ; 0
1792351000 ; 3.33625 ; 3.29636 ; 0 ; 0
1792460000 ; 3.32772 ; 3.29628 ; 0 ; 0
1792559000 ; 3.32894 ; 3.29636 ; 0 ; 0
1792670000 ; 3.70879 ; 3.29651 ; 0 ; 0
1792784000 ; 3.99124 ; 3.29651 ; 0 ; 0
1792896000 ; 3.99976 ; 3.29659 ; 0 ; 0
1793017000 ; 4.14464 ; 3.29636 ; 0 ; 0
1793133000 ; 3.90601 ; 3.29613 ; 0 ; 0
1793236000 ; 4.16898 ; 3.2962 ; 0 ; 0
1793337000 ; 4.26273 ; 3.29613 ; 0 ; 0
1793435000 ; 4.15194 ; 3.2962 ; 0 ; 0
1793537000 ; 3.89749 ; 3.29643 ; 0 ; 0
1793637000 ; 3.75262 ; 3.29826 ; 0 ; 0
1793735000 ; 3.74653 ; 3.29628 ; 0 ; 0
1793837000 ; 3.25833 ; 3.29643 ; 0 ; 0
1793946000 ; 3.25955 ; 3.29613 ; 0 ; 0
1794044000 ; 3.26685 ; 3.29819 ; 0 ; 0
1794152000 ; 3.25224 ; 3.29636 ; 0 ; 0
1794258000 ; 3.26928 ; 3.29643 ; 0 ; 0
1794357000 ; 3.27172 ; 3.29636 ; 0 ; 0
1794476000 ; 3.26076 ; 3.2962 ; 0 ; 0
1794582000 ; 3.26198 ; 3.29597 ; 0 ; 0
1794693000 ; 3.2632 ; 3.29636 ; 0 ; 0
1794793000 ; 3.24494 ; 3.29613 ; 0 ; 0
1794906000 ; 3.2632 ; 3.2962 ; 0 ; 0
1795011000 ; 3.28268 ; 3.29597 ; 0 ; 0
1795127000 ; 3.25955 ; 3.29659 ; 0 ; 0
1795230000 ; 3.26076 ; 3.2962 ; 0 ; 0
1795351000 ; 3.27781 ; 3.29651 ; 0 ; 0
1795454000 ; 3.26442 ; 3.29628 ; 0 ; 0
1795562000 ; 3.26198 ; 3.29613 ; 0 ; 0
1795672000 ; 3.25589 ; 3.29857 ; 0 ; 0
1795783000 ; 3.26685 ; 3.2962 ; 0 ; 0
1795894000 ; 3.27781 ; 3.2959 ; 0 ; 0
1796007000 ; 3.27172 ; 3.29605 ; 0 ; 0
1796122000 ; 3.25102 ; 3.2962 ; 0 ; 0
1796244000 ; 3.24859 ; 3.2962 ; 0 ; 0
1796351000 ; 3.2352 ; 3.29651 ; 0 ; 0
1796449000 ; 3.24128 ; 3.29636 ; 0 ; 0
1796564000 ; 3.25955 ; 3.29597 ; 0 ; 0
1796661000 ; 3.2632 ; 3.29613 ; 0 ; 0
1796767000 ; 3.23398 ; 3.29605 ; 0 ; 0
1796874000 ; 3.24737 ; 3.29613 ; 0 ; 0
1796983000 ; 3.23154 ; 3.2962 ; 0 ; 0
1797093000 ; 3.24494 ; 3.2959 ; 0 ; 0
1797194000 ; 3.22424 ; 3.29597 ; 0 ; 0
1797305000 ; 3.23154 ; 3.29597 ; 0 ; 0
1797416000 ; 3.24372 ; 3.29605 ; 0 ; 0
1797533000 ; 3.24007 ; 3.29613 ; 0 ; 0
1797636000 ; 3.25346 ; 3.29849 ; 0 ; 0
1797740000 ; 3.2145 ; 3.29597 ; 0 ; 0
